1.30351,1.30451,1.30289,1.30396,516,'2013.01.07 07:00'
1.30394,1.30541,1.30294,1.30331,622,'2013.01.07 08:00'
1.30329,1.30369,1.30166,1.30241,1044,'2013.01.07 09:00'
1.30244,1.30429,1.30161,1.30366,935,'2013.01.07 10:00'
1.30369,1.30476,1.30331,1.30406,958,'2013.01.07 11:00'
1.30401,1.30451,1.30329,1.30329,793,'2013.01.07 12:00'
1.30319,1.30439,1.30211,1.30239,749,'2013.01.07 13:00'
1.30236,1.30644,1.30224,1.30594,1017,'2013.01.07 14:00'
1.30601,1.30654,1.30519,1.30551,788,'2013.01.07 15:00'
1.30554,1.30996,1.30526,1.30976,1101,'2013.01.07 16:00'
1.30974,1.31116,1.30946,1.30976,764,'2013.01.07 17:00'
1.30974,1.31101,1.30951,1.31071,332,'2013.01.07 18:00'
1.31069,1.31186,1.31036,1.31099,442,'2013.01.07 19:00'
1.31104,1.31134,1.31059,1.31114,355,'2013.01.07 20:00'
1.31111,1.31161,1.31046,1.31131,407,'2013.01.07 21:00'
1.31126,1.31176,1.31121,1.31161,408,'2013.01.07 22:00'
1.31156,1.31274,1.31151,1.31251,540,'2013.01.07 23:00'
1.31256,1.31261,1.31179,1.31229,453,'2013.01.08 00:00'
1.31224,1.31261,1.31146,1.31174,462,'2013.01.08 01:00'
1.31181,1.31221,1.31039,1.31111,511,'2013.01.08 02:00'
1.31109,1.31391,1.31031,1.31276,873,'2013.01.08 03:00'
1.31281,1.31321,1.31166,1.31226,444,'2013.01.08 04:00'
1.31221,1.31301,1.31176,1.31189,459,'2013.01.08 05:00'
1.31191,1.31286,1.31189,1.31231,375,'2013.01.08 06:00'
1.31234,1.31276,1.31109,1.31151,485,'2013.01.08 07:00'
1.31146,1.31214,1.31044,1.31141,713,'2013.01.08 08:00'
1.31144,1.31266,1.31021,1.31221,1142,'2013.01.08 09:00'
1.31226,1.31314,1.31159,1.31171,1009,'2013.01.08 10:00'
1.31166,1.31254,1.31109,1.31231,868,'2013.01.08 11:00'
1.31234,1.31309,1.31061,1.31231,958,'2013.01.08 12:00'
1.31221,1.31256,1.30904,1.30989,1034,'2013.01.08 13:00'
1.30984,1.30984,1.30686,1.30809,1265,'2013.01.08 14:00'
1.30811,1.30961,1.30684,1.30841,1531,'2013.01.08 15:00'
1.30846,1.30854,1.30614,1.30651,1401,'2013.01.08 16:00'
1.30649,1.30746,1.30556,1.30666,880,'2013.01.08 17:00'
1.30659,1.30739,1.30644,1.30696,472,'2013.01.08 18:00'
1.30681,1.30791,1.30661,1.30784,350,'2013.01.08 19:00'
1.30789,1.30851,1.30756,1.30819,316,'2013.01.08 20:00'
1.30821,1.30849,1.30789,1.30791,271,'2013.01.08 21:00'
1.30794,1.30856,1.30789,1.30803,272,'2013.01.08 22:00'
1.30808,1.30835,1.30762,1.30800,503,'2013.01.08 23:00'
1.30811,1.30856,1.30784,1.30817,346,'2013.01.09 00:00'
1.30822,1.30896,1.30666,1.30714,557,'2013.01.09 01:00'
1.30716,1.30849,1.30714,1.30769,501,'2013.01.09 02:00'
1.30779,1.30841,1.30699,1.30731,412,'2013.01.09 03:00'
1.30726,1.30761,1.30681,1.30729,293,'2013.01.09 04:00'
1.30731,1.30761,1.30699,1.30741,238,'2013.01.09 05:00'
1.30739,1.30861,1.30739,1.30846,419,'2013.01.09 06:00'
1.30844,1.30926,1.30816,1.30844,562,'2013.01.09 07:00'
1.30836,1.30894,1.30731,1.30759,649,'2013.01.09 08:00'
1.30751,1.30924,1.30669,1.30886,1119,'2013.01.09 09:00'
1.30889,1.30949,1.30656,1.30679,1016,'2013.01.09 10:00'
1.30676,1.30766,1.30629,1.30674,702,'2013.01.09 11:00'
1.30676,1.30719,1.30486,1.30494,912,'2013.01.09 12:00'
1.30491,1.30634,1.30446,1.30566,723,'2013.01.09 13:00'
1.30569,1.30604,1.30434,1.30581,784,'2013.01.09 14:00'
1.30574,1.30574,1.30361,1.30466,1286,'2013.01.09 15:00'
1.30461,1.30559,1.30396,1.30416,894,'2013.01.09 16:00'
1.30419,1.30786,1.30409,1.30736,866,'2013.01.09 17:00'
1.30741,1.30789,1.30624,1.30681,797,'2013.01.09 18:00'
1.30684,1.30691,1.30449,1.30541,739,'2013.01.09 19:00'
1.30544,1.30616,1.30521,1.30536,380,'2013.01.09 20:00'
1.30531,1.30659,1.30521,1.30621,245,'2013.01.09 21:00'
1.30624,1.30671,1.30596,1.30631,207,'2013.01.09 22:00'
1.30641,1.30671,1.30516,1.30546,396,'2013.01.09 23:00'
1.30539,1.30576,1.30516,1.30529,342,'2013.01.10 00:00'
1.30531,1.30556,1.30469,1.30501,363,'2013.01.10 01:00'
1.30489,1.30526,1.30384,1.30389,264,'2013.01.10 02:00'
1.30399,1.30499,1.30384,1.30474,377,'2013.01.10 03:00'
1.30476,1.30521,1.30454,1.30494,156,'2013.01.10 04:00'
1.30506,1.30519,1.30426,1.30444,126,'2013.01.10 05:00'
1.30434,1.30456,1.30414,1.30441,165,'2013.01.10 06:00'
1.30446,1.30601,1.30444,1.30579,329,'2013.01.10 07:00'
1.30569,1.30739,1.30534,1.30664,648,'2013.01.10 08:00'
1.30659,1.30711,1.30559,1.30634,692,'2013.01.10 09:00'
1.30631,1.31024,1.30626,1.31014,852,'2013.01.10 10:00'
1.31019,1.31099,1.30921,1.30984,955,'2013.01.10 11:00'
